,Unnamed: 0.1,Unnamed: 0,Star Name,Planet Name,Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Gaia ID,Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star Gaia Mag,Star W1 Mag,Star T Mag,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star RA,Star Dec,Planet Radius [Re],Planet Radius Error Upper [Re],Planet Radius Error Lower [Re],Planet Radius [Rj],Planet Radius Error Upper [Rj],Planet Radius Error Lower [Rj],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Mass [Mj],Planet Mass Error Upper [Mj],Planet Mass Error Lower [Mj],Mass Flag,RV Flag,RV Amplitude [m/s],Planet Period [days],Cumulative time (days),Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Semi-major Axis [AU],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,Inclination,Inclination Error Upper,Inclination Error Lower,Eccentricity,Eccentricity Error Upper,Eccentricity Error Lower,Eccentricity Flag,Periastron,Periastron Error Upper,Periastron Error Lower,Transit Mid Time [JD - 2450000],Transit Mid Time Error Upper [days],Transit Mid Time Error Lower [days],Transit Mid Time Flag,Eclipse Mid Time [JD - 2450000],Eclipse Duration [s],Transit Depth [%],Transit Depth Error Upper [%],Transit Depth Error Lower [%],"Known (Y=1,N=0)",Discovery Year,Telescope,ESM,pl_g,ASM,Transit Signal,Tier1_SNR,Tier1 Transit S/N
527,527,527,L 98-59 b,L 98-59 b,1.0,3.371499794,6.671377056,895.2549621,6907.146187,12230.67454,Transit,1,3,7,0,0,0,0.27,-0.03,0.03,3415.0,-135.0,135.0,0.3,-0.02,0.03,10.6194,-0.0032,0.0032,4.86,-0.13,0.13,Gaia DR2 5271055243163629056,7.359,7.933,7.101,11.685,10.5976,6.935,0,-0.46,-0.26,0.26,[Fe/H],0.8,,,M3 V,124.5328604,-68.3144658,0.851882536,0.056044904,-0.044835923,0.076,0.005,-0.004,0.400463792,0.158914203,-0.149379351,0.00126,0.0005,-0.00047,0,1,0.46,2.2531136,2904.605961,-1.5e-06,1.2e-06,629.8999194,3252430017.0,0.021755385,0.1,2.3,3494.17611,0.53,1,87.71,-0.44,1.16,0.103,-0.045,0.117,0,192.0,-155.0,70.0,8366.17067,0.00036,-0.00033,0,8367.297227,3347.658869,0.047426,0.008204,-0.008204,2,2019,Ariel,5.564693419534581,5.626521336215003,0.649400007702955,0.0005605633856869,0.2443390352345971,13.99839325341919
146,146,146,Qatar-8 b,Qatar-8 b,1.0,4.431195239,8.68938921,1.0,4.412745871,8.649505406,Eclipse,1,4,9,0,0,0,1.03,-0.05,0.05,5738.0,-51.0,51.0,1.31,-0.02,0.02,281.498,-2.543,2.588,4.21,-0.02,0.02,Gaia DR2 1076515002779544960,10.005,10.296,9.937,11.71,11.3494,9.898,0,0.025,-0.071,0.071,[Fe/H],8.3,-2.1,2.1,G0 V,157.4123405,70.5270835,14.40354024,0.246597576,-0.246597576,1.285,0.022,-0.022,117.9143388,19.70536121,-19.70536121,0.371,0.062,-0.062,0,1,47.7,3.71495,457.2732598,-0.001,0.001,1406.462273,7092712724.0,0.047442894,0.3,2.3,14439.17055,0.096,1,89.29,-0.7,0.7,0.0,,,0,,,,8210.8398,0.00085,-0.00085,0,8212.697275,0.0,1.029,0.063,-0.053,1,2019,Ariel,72.50297805099785,5.795144425141691,3.919111643824906,0.0011474467467572,13.637026729583056,13.904909784380104
194,194,194,WASP-168 b,WASP-168 b,1.0,4.790695883,9.407794487,1.003714984,7.604972741,14.84870068,Transit,1,5,9,0,0,0,1.08,-0.05,0.05,6000.0,-100.0,100.0,1.12,-0.06,0.06,303.941,-1.888,1.911,4.37,-0.05,0.05,Gaia DR2 5555500000779464448,10.493,10.778,10.443,12.124,11.7139,10.391,0,-0.01,-0.09,0.09,,3.96,-1.77,1.77,F9 V,96.7446427,-46.8213635,16.8134711,5.604490365,-3.362694219,1.5,0.5,-0.3,133.4879308,12.71313626,-12.71313626,0.42,0.04,-0.04,0,1,50.0,4.153658,644.0635636,-3e-06,3e-06,1299.875668,7762347035.0,0.051922054,0.3,2.3,6815.366967,0.97,1,84.4,-0.6,0.6,0.0,,,0,,,,7424.5278,0.0004,-0.0004,0,7426.604629,0.0,1.19,0.15,-0.07,1,2018,Ariel,88.29540425437702,4.814635146367089,4.859730591445752,0.0020384582723326,10.886457508465243,13.834926502740965
281,281,281,WASP-166 b,WASP-166 b,1.0,4.165763324,8.097151194,2.709938494,19.87685856,39.07332171,Transit,1,4,8,0,0,0,1.19,-0.06,0.06,6050.0,-50.0,50.0,1.22,-0.06,0.06,114.173,-0.586,0.591,4.34,-0.05,0.05,Gaia DR2 5664957444179338240,8.135,8.35,8.032,9.351,9.257,7.999,0,0.19,-0.05,0.05,[Fe/H],2.1,-0.9,0.9,F9 V,144.8751047,-20.9824191,7.06165786,0.336269422,-0.336269422,0.63,0.03,-0.03,32.10066907,1.589142033,-1.589142033,0.101,0.005,-0.005,0,1,10.4,5.44354,1011.99578,-4e-06,4e-06,1230.002745,9601400360.0,0.064223414,0.3,2.3,12957.32185,0.39,1,88.0,-0.7,0.7,0.0,,,0,,,,7664.3289,0.0006,-0.0006,0,7667.05067,0.0,0.281,0.007,-0.007,1,2019,Ariel,35.63533978982229,6.563521080108466,1.9027846243917477,0.0005008391429725,5.534990844008169,13.664245050981226
223,223,223,TOI-1842 b,TOI-1842 b,1.0,4.414435459,8.53603886,1.707470127,10.98489949,21.55222485,Transit,1,4,9,0,0,0,1.46,-0.03,0.03,6230.0,-50.0,50.0,2.02,-0.05,0.05,223.465,-2.216,2.26,4.1,-0.1,0.1,Gaia DR2 3719927426253118848,8.511,8.747,8.446,9.815,9.65981,8.398,0,0.22,-0.05,0.05,[M/H],2.49,-0.22,0.22,,201.9626552,9.0306437,11.65733996,0.672538844,-0.560449037,1.04,0.06,-0.05,68.01527901,12.71313626,-12.07747945,0.214,0.04,-0.038,0,1,15.9,9.5739,754.4815084,-0.0001,0.0002,1304.961554,14976426164.0,0.100176764,0.3,2.3,24982.44787,0.297642946,1,88.4,-1.5,0.9,0.0,,,0,,,,9402.4575,0.0026,-0.0024,0,9407.24445,0.0,0.314667,0.007761,-0.007761,2,2021,Ariel,31.549888931758865,5.103213103549753,1.714631490147582,0.0004115217486637,7.452596772108718,13.439495110630636
160,160,160,WASP-31 b,WASP-31 b,1.0,5.44781462,10.69362177,1.0,5.432395867,10.68219341,Eclipse,1,5,11,0,0,0,1.16,,0.03,6302.0,,102.0,1.25,,0.03,383.829,-6.231,6.437,4.31,-0.08,0.07,Gaia DR2 3545873945303316224,10.709,10.912,10.65,11.658,11.8163,10.618,0,0.2,-0.09,0.09,,1.0,-0.5,3.0,,169.4388603,-19.0547781,17.36271115,0.560449037,-0.560449037,1.549,0.05,-0.05,155.4180908,7.945710165,-7.945710165,0.489,0.025,-0.025,0,1,59.4,3.4059096,513.0792078,-5e-06,5e-06,1522.772851,6964223827.0,0.046583437,0.3,2.3,9643.680855,0.77,1,84.41,-0.22,0.22,0.0,,,0,,,,5192.6887,0.0003,-0.0003,0,5194.391655,0.0,1.615,0.027,-0.027,1,2010,Ariel,85.56697040156578,5.256572190696553,4.5757999744983975,0.0018133100279538,14.370621882309573,13.353428374400336
23,23,23,WASP-74 b,WASP-74 b,1.0,4.403309419,8.60795269,1.0,1.0,1.005684288,Eclipse,1,1,1,0,0,0,0.98,-0.24,0.24,5990.0,-110.0,110.0,1.42,-0.1,0.1,149.216,-1.132,1.149,4.39,-0.07,0.07,Gaia DR2 4224062406762625152,8.286,8.548,8.221,9.75,9.5723,8.14,0,0.39,,,[Fe/H],3.7,-0.9,0.9,F9,304.538843,-1.0760033,15.24421379,1.120898073,-1.120898073,1.36,0.1,-0.1,262.5262638,6.674396538,-6.674396538,0.826,0.021,-0.021,0,1,0.0,2.13775,57.55910689,-1e-06,1e-06,1853.119534,4826266304.0,0.032282718,0.3,2.3,8246.422994,0.86,1,79.81,-0.24,0.24,0.0,,,0,,,,7205.93774,0.0001,-0.0001,0,7207.006615,0.0,0.96,0.014,-0.014,1,2015,Ariel,227.636581903076,11.518577272207162,12.102400662545485,0.0006851331683367,38.84393716679513,13.195113989535376
96,96,96,WASP-15 b,WASP-15 b,1.0,4.839059665,9.480944786,1.0,2.398094274,4.739708111,Eclipse,1,2,5,0,0,0,1.18,-0.93,0.93,6300.0,-100.0,100.0,1.48,-0.38,0.38,282.091,-3.294,3.371,4.35,-0.15,0.15,Gaia DR2 6171009049549197824,9.713,9.956,9.693,10.972,10.797,9.645001,0,-0.17,,,[Fe/H],2.4,-0.7,0.6,F7,208.9280111,-32.1597118,15.80466283,4.035233063,-4.035233063,1.41,0.36,-0.36,172.2629964,17.16273396,-16.84490555,0.542,0.054,-0.053,0,1,63.5,3.7521,273.5857796,-1e-05,1e-05,1599.270875,7470934325.0,0.049972805,0.3,2.3,13748.56223,0.525,1,85.96,-0.35,0.35,0.0,,,0,240.0,-200.0,79.0,4584.69819,0.00021,-0.0002,0,4586.57424,0.0,0.97,0.012,-0.012,1,2009,Ariel,85.28460351194816,7.031656883450179,4.7462782141785045,0.0009244176280827,18.490495490628437,13.092068006455982
392,392,392,HAT-P-26 b,HAT-P-26 b,1.0,4.631788415,9.082261902,9.717004219,80.8997027,161.1119507,Transit,1,5,9,0,0,0,1.12,-0.36,0.36,5079.0,-88.0,88.0,0.87,-0.05,0.05,141.837,-1.133,1.152,4.56,-0.06,0.06,Gaia DR2 3668036348641580288,9.685,10.08,9.581,11.757,11.4641,9.536,0,-0.04,,,[Fe/H],9.0,-4.9,3.0,K1,213.1565508,4.0594175,7.06165786,0.448359229,-0.448359229,0.63,0.04,-0.04,22.24798846,6.356568132,-6.356568132,0.07,0.02,-0.02,0,1,8.5,4.23452,1551.38381,-1.5e-05,1.5e-05,957.7581647,7958662956.0,0.053235204,0.3,2.3,9135.738268,0.303,1,88.6,-0.7,0.7,0.12,-0.06,0.06,0,46.0,-71.0,33.0,6892.59046,0.0001,-0.0001,0,6894.70772,10861.95464,0.54,0.0013,-0.0013,1,2010,Ariel,25.510968645878915,4.548975006015769,1.6721204922109822,0.001106502847527,2.840380766522751,12.959356980231094
415,415,415,pi Men c,pi Men c,3.563479173,10.90473094,18.73405097,104.1081821,248.6651192,422.9288752,Transit,4,11,19,0,0,0,1.09,-0.04,0.04,6037.0,-45.0,45.0,1.1,-0.02,0.02,18.2702,-0.0226,0.0226,4.42,-0.03,0.03,Gaia DR2 4623036865373793408,4.424,4.869,4.241,5.65,5.5128,4.269,0,0.08,-0.03,0.03,[Fe/H],2.98,-1.3,1.4,G0 V,84.2992798,-80.4646041,2.040034493,0.044835923,-0.044835923,0.182,0.004,-0.004,4.821456928,0.839066993,-0.861314982,0.01517,0.00264,-0.00271,0,1,1.58,6.2679,1750.694062,-0.00046,0.00046,1128.309313,10243652842.0,0.068519417,0.3,2.3,10671.30851,0.59,1,87.456,-0.076,0.085,0.0,,,0,,,,8325.504,0.0012,-0.00074,0,8328.63795,0.0,0.03,,,2,2018,Ariel,17.810626961463587,11.812434526927294,0.9635654652054024,9.071580432290768e-05,2.2835860684656417,12.637775164052451
19,19,19,KELT-20 b,KELT-20 b,1.0,4.575606261,8.934502053,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,1.76,-0.19,0.14,8720.0,-260.0,250.0,1.56,-0.06,0.06,136.426,-0.807,0.816,4.29,-0.02,0.02,Gaia DR2 2033123654092592384,7.446,7.424,7.415,7.59,7.57492,7.363,0,-0.29,-0.36,0.22,[Fe/H],0.6,,,A2 V,294.6614126,31.2192001,19.51483545,0.77341967,-0.829464574,1.741,0.069,-0.074,1074.895671,0.0,0.0,3.382,0.0,0.0,1,1,0.0,3.4741085,48.95021239,-1.9e-06,1.9e-06,2181.396627,8108946858.0,0.054240447,0.3,2.3,12753.34816,0.503,1,86.12,-0.27,0.28,0.0,,,0,,,,7503.120049,0.00019,-0.00019,0,7504.857103,0.0,1.309,0.014,-0.014,1,2017,Ariel,372.7831557934422,28.778799305217515,17.314433004724773,0.0003423889345228,89.58309045494464,12.439036738686037
334,334,334,NGTS-5 b,NGTS-5 b,1.0,8.121689253,15.93378352,6.161225349,41.66041845,79.47043992,Transit,1,8,16,1,0,1,0.66,-0.06,0.07,4987.0,-41.0,41.0,0.74,-0.01,0.01,306.779,-2.558,2.601,4.52,-0.04,0.04,Gaia DR2 1159042833731813760,11.708,12.117,11.612,13.789,13.526,11.526,0,0.12,-0.1,0.1,[Fe/H],,,,K2 V,221.0582692,5.6053735,12.73340211,0.257806557,-0.257806557,1.136,0.023,-0.023,72.78270511,11.75965104,-11.75965104,0.229,0.037,-0.037,0,1,41.0,3.3569866,1240.477996,-2.6e-06,2.6e-06,1023.459025,5715387712.0,0.038230018,0.3,2.3,7924.716334,0.658587095,1,86.6,-0.2,0.2,0.0,,,0,,,,7740.35262,0.00026,-0.00026,0,7742.031113,0.0,,,,1,2019,Ariel,52.97434873640787,4.576942212188999,3.326341626227944,0.0029289914381988,5.784078038207061,12.409036549017952
155,155,155,KELT-6 b,KELT-6 b,1.0,5.343444265,10.41430925,1.0,5.071197054,10.03297546,Eclipse,1,5,10,0,0,0,1.42,-0.46,0.46,6102.0,-43.0,43.0,1.73,-0.12,0.12,240.726,-1.955,1.987,4.07,-0.06,0.06,Gaia DR2 1464700950221781504,9.137,9.302,9.083,10.371,10.1934,9.039,0,-0.28,,,[Fe/H],6.1,-0.2,0.2,F8,195.9818362,30.640145,14.57167495,1.008808266,-1.008808266,1.3,0.09,-0.09,140.4801557,6.038739725,-6.038739725,0.442,0.019,-0.019,0,1,41.8,7.8457,494.7065642,-0.0002,0.0002,1269.869392,12994170465.0,0.086917528,0.3,2.3,21181.33365,0.2,1,88.81,-0.85,0.85,0.22,-0.11,0.11,0,80.0,-120.0,110.0,6347.796793,0.000364,-0.000364,0,6351.719643,32898.04852,0.6,0.015,-0.015,1,2014,Ariel,48.853096816001454,6.745780012767075,2.830497162722386,0.0005162810759222,10.939413369447058,12.179195918106
382,382,382,TOI-674 b,TOI-674 b,1.0,5.617766081,11.20959961,7.61019646,65.8170982,132.8981755,Transit,1,6,11,0,0,0,0.42,-0.01,0.01,3514.0,-57.0,57.0,0.42,-0.01,0.01,46.0851,-0.1153,0.1159,4.81,-0.03,0.03,Gaia DR2 5400949450924312576,9.737001,10.359,9.469,14.203,13.0914,9.345,0,0.17,-0.12,0.12,[Fe/H],,,,M2 V,164.5865592,-36.8581092,5.245802982,0.168134711,-0.168134711,0.468,0.015,-0.015,23.59875919,3.29905886,-3.29905886,0.07425,0.01038,-0.01038,0,1,21.44,1.977143,1490.159062,-3e-06,3e-06,698.8670804,3454138899.0,0.023104608,0.3,2.3,4250.228591,0.624,1,87.21,-0.24,0.24,0.0,,,0,,,,8641.404552,0.000102,-0.000102,0,8642.393124,0.0,1.445627,0.021868,-0.021868,2,2021,Ariel,46.80479940170213,8.743823074617953,4.67747150534245,0.0013389016419832,3.0866579341459466,12.16591554521738
450,450,450,HD 136352 c,HD 136352 c,4.928079797,13.02493678,21.65865757,398.2640759,716.9058757,1227.065549,Transit,5,13,22,0,0,0,0.87,-0.04,0.04,5664.0,-61.0,61.0,1.06,-0.02,0.02,14.682,-0.0198,0.0199,4.39,-0.11,0.11,Gaia DR2 5902750168276592256,3.898,4.308,4.159,5.65,5.48495,,0,-0.24,-0.05,0.05,[M/H],12.3,-2.9,1.2,G4 V,230.4401147,-48.3188174,2.91433499,0.078462865,-0.078462865,0.26,0.007,-0.007,11.23841246,0.651548234,-0.629300245,0.03536,0.00205,-0.00198,0,1,2.61,27.59221,1960.39222,-0.00011,0.00011,701.0290483,25522823774.0,0.170721229,0.1,2.3,11817.0722,0.872,1,88.571,-0.045,0.042,0.0,,,0,-110.22,-75.76,74.58,8954.4099,0.00052,-0.00054,0,8968.206005,0.0,0.0638,0.0024,-0.0022,1,2019,Ariel,14.64178073395234,13.491560025534152,1.3437595534731626,7.12947455884055e-05,1.1579407384000224,12.022647821002517
229,229,229,K2-232 b,K2-232 b,1.0,5.395886572,10.49212065,1.559101733,12.35541492,23.31557875,Transit,1,5,10,0,0,0,1.19,-0.03,0.03,6154.0,-60.0,60.0,1.16,-0.02,0.02,130.72,-0.759,0.768,4.38,-0.02,0.02,Gaia DR2 3406687485600728192,8.48,8.739,8.434,9.822,9.72626,8.38,0,0.1,-0.04,0.04,[Fe/H],1.43,-0.75,0.82,,73.7667927,18.654323,11.20898073,0.246597576,-0.224179615,1.0,0.022,-0.02,122.9995934,13.98444989,-13.34879308,0.387,0.044,-0.042,0,1,35.4,11.168454,784.4519109,-2.3e-05,2.3e-05,960.1079447,15502759397.0,0.103697387,0.3,2.3,17323.04469,0.108,1,89.14,-0.11,0.13,0.258,-0.025,0.025,0,207.0,-3.8,3.6,7825.349782,9.3e-05,-9.3e-05,0,7830.934009,13690.44825,0.7764,0.0054,-0.003,1,2018,Ariel,49.12856028484055,9.98177036595034,2.990390090107664,0.0004513408991883,7.141906286087732,11.95471295983018
175,175,175,TOI-1296 b,TOI-1296 b,1.0,5.804886108,11.37174798,1.0,6.587492982,12.94107264,Transit,1,6,11,0,0,0,1.17,-0.14,0.14,5603.0,-47.0,47.0,1.66,-0.04,0.04,323.265,-2.797,2.845,4.05,-0.1,0.1,Gaia DR2 1650851223740149504,9.837,10.15,9.742,11.37,11.2912,9.7,0,0.44,-0.04,0.04,[Fe/H],6.9,-0.7,0.7,,256.7706392,70.2384806,13.79825528,0.347478403,-0.347478403,1.231,0.031,-0.031,94.71286517,12.39530786,-12.39530786,0.298,0.039,-0.039,0,1,34.8,3.9443715,560.055538,-5.8e-06,5.8e-06,1483.5659,7702147095.0,0.051519379,0.3,2.3,17445.80466,0.13,1,88.81,-1.0,0.82,0.055,-0.038,0.061,0,137.0,-62.0,62.0,8930.75532,0.00019,-0.00019,0,8932.727506,18805.59125,0.668412,0.004302,-0.004302,2,2021,Ariel,51.112524365838254,5.072204648703908,2.7817398480352384,0.0008250117445432,11.035868688921504,11.93779265250421
166,166,166,TOI-1259 A b,TOI-1259 A b,1.0,5.486915533,10.76886357,1.0,6.116618602,12.23857563,Transit,1,5,11,0,0,0,0.74,-0.06,0.06,4775.0,-100.0,100.0,0.71,-0.02,0.02,118.106,-0.372,0.375,4.61,-0.01,0.01,Gaia DR2 2294170838587572736,9.715,10.226,9.619,12.079,11.8104,9.535,0,-0.5,-0.5,0.5,[Fe/H],4.8,-0.8,0.7,,282.1001665,79.2564761,11.45557831,0.336269422,-0.30264248,1.022,0.03,-0.027,140.1623273,15.57359192,-14.93793511,0.441,0.049,-0.047,0,1,72.0,3.477978,531.2409643,-1.7e-06,1.9e-06,930.7022072,6079386761.0,0.040664794,0.3,2.3,8916.367142,0.065,1,89.7,-0.26,0.2,0.0,,,0,,,,8686.700531,9.7e-05,-0.000104,0,8688.43952,0.0,2.6759,0.0099,-0.01,2,2021,Ariel,100.21391817068198,10.890138607477232,6.490589205798253,0.0010940060261202,10.362199024562235,11.89172520961311
251,251,251,WASP-174 b,WASP-174 b,1.0,6.844328306,13.43479045,1.832338398,14.23269875,27.97352012,Transit,1,7,13,0,0,0,1.24,-0.04,0.04,6399.0,-68.0,68.0,1.35,-0.02,0.02,410.149,-9.884,10.376,4.27,-0.01,0.01,Gaia DR2 6139403450370668800,10.599,10.845,10.579,11.803,11.6826,10.53,0,0.06,-0.06,0.06,[Fe/H],2.2,-0.52,0.52,F6 V,195.7940145,-41.3848617,16.10730531,0.560449037,-0.560449037,1.437,0.05,-0.05,104.8833742,28.922385,-28.922385,0.33,0.091,-0.091,0,1,36.1,4.2337005,886.8352762,-1.8e-06,1.8e-06,1477.943255,8232251493.0,0.055065227,0.3,2.3,7544.857342,0.953,1,83.78,-0.096,0.096,0.0,,,0,,,,8545.5266,0.00014,-0.00014,0,8547.64345,0.0,0.86,0.03,-0.03,1,2018,Ariel,60.92836845806896,4.121895841417525,3.1953393011653706,0.0017850819448,8.695029559913626,11.866907374711928
179,179,179,HAT-P-65 b,HAT-P-65 b,1.0,8.515962104,16.7103178,1.0,6.830185567,13.44146351,Eclipse,1,7,13,0,0,0,1.21,-0.05,0.05,5835.0,-51.0,51.0,1.86,-0.1,0.1,738.519,-18.922,19.924,3.98,-0.04,0.04,Gaia DR2 1757302881526250496,11.604,11.892,11.528,13.121,12.9952,11.494,0,0.1,-0.08,0.08,[Fe/H],5.46,-0.61,0.61,G2,315.9054895,11.9893675,21.18497358,1.457167495,-1.457167495,1.89,0.13,-0.13,167.4955703,26.37975775,-26.37975775,0.527,0.083,-0.083,0,1,68.0,2.6054552,571.4260675,-3.1e-06,3.1e-06,1867.358306,5907660235.0,0.039516122,0.3,2.3,15853.23159,0.464,1,84.2,-1.3,1.3,0.0,,,1,,,,6409.33263,0.00046,-0.00046,0,6410.635358,0.0,,,,1,2016,Ariel,58.3040680499141,3.805253695508428,3.781019325268783,0.0016927317357746,16.632243441653753,11.76055362058852
217,217,217,WASP-29 b,WASP-29 b,1.0,5.344053892,10.46052158,1.177401977,10.49178432,20.18624877,Transit,1,5,10,0,0,0,0.77,-0.25,0.25,4800.0,-150.0,150.0,0.79,-0.07,0.07,87.5953,-0.3095,0.3117,4.5,-0.2,0.2,Gaia DR2 6534414719318224512,8.875,9.353,8.783,11.331,10.8932,8.706,0,0.11,,,[Fe/H],14.0,-7.0,0.0,,357.8791976,-39.9071215,8.630915163,0.784628651,-0.784628651,0.77,0.07,-0.07,77.86795962,7.310053352,-6.992224945,0.245,0.023,-0.022,0,1,36.0,3.92273,728.0952668,-4e-06,4e-06,941.8157458,6675039389.0,0.044649093,0.3,2.3,9702.658755,0.14,1,88.8,-0.7,0.7,0.03,-0.04,0.04,0,,,,6347.98683,0.00014,-0.00014,0,6349.948195,0.0,1.0,0.04,-0.04,1,2010,Ariel,68.88003534680321,10.658135654590664,4.530219999213145,0.0006883818725659,7.687359208642901,11.752643352692804
242,242,242,HAT-P-17 b,HAT-P-17 b,1.0,5.59499763,10.90980964,1.876747212,13.73483484,26.51907689,Transit,1,6,11,0,0,0,0.99,-0.15,0.15,5246.0,-80.0,80.0,0.87,-0.04,0.04,92.3831,-0.4802,0.4851,4.53,-0.02,0.02,Gaia DR2 1849786481031300608,8.619,9.017,8.544,10.375,10.2743,8.506,0,0.0,,,[Fe/H],7.8,-3.3,3.3,K,324.5359781,30.4881882,11.76942977,0.448359229,-0.448359229,1.05,0.04,-0.04,170.6738543,5.403082912,-5.403082912,0.537,0.017,-0.017,0,1,59.09,10.33852,836.0743645,-9e-06,9e-06,749.9258887,13848900431.0,0.092634785,0.3,2.3,13422.31492,0.311,1,89.2,-0.15,0.15,0.35,-0.01,0.01,0,201.0,-1.0,1.0,6569.05972,5e-05,-5e-05,0,6574.22898,10430.48702,1.5,0.022,-0.022,1,2010,Ariel,61.60347495977439,12.562969259470975,4.874039611625826,0.0005228595232506,6.502145047834654,11.647970759013766
397,397,397,WASP-139 b,WASP-139 b,1.0,6.78331771,13.31124537,15.91511822,108.5742832,225.144363,Transit,1,7,13,0,0,0,0.92,-0.1,0.1,5310.0,-90.0,90.0,0.8,-0.04,0.04,212.472,-1.098,1.11,4.59,-0.06,0.06,Gaia DR2 4851398799032507776,10.575,10.982,10.472,12.456,12.2715,10.432,0,0.2,-0.09,0.09,[Fe/H],0.5,,,K0,49.562173,-41.3020235,8.967184585,0.560449037,-0.560449037,0.8,0.05,-0.05,37.18592357,5.403082912,-5.403082912,0.117,0.017,-0.017,0,1,14.0,5.924262,1630.08522,-4e-06,4e-06,887.1271718,9323595571.0,0.062365188,0.3,2.3,10236.83182,0.33,1,88.9,-0.5,0.5,0.0,,,0,,,,7196.7933,0.0003,-0.0003,0,7199.755431,0.0,1.07,0.03,-0.03,1,2016,Ariel,25.79776308503628,4.715225826938751,1.6885526218700115,0.0014849149391385,2.6926042871358087,11.644817254846767
80,80,80,WASP-35 b,WASP-35 b,1.0,6.103654843,11.97044592,1.0,1.852829339,3.63896308,Eclipse,1,2,4,0,0,0,1.05,-0.19,0.19,5990.0,-80.0,80.0,1.08,-0.06,0.06,202.218,-1.669,1.698,4.4,-0.01,0.01,Gaia DR2 3211188618762023424,9.598,9.887,9.525,10.939,10.8531,9.482,0,-0.15,,,[Fe/H],5.0,-1.2,1.2,,76.0818912,-6.2297801,14.57167495,0.784628651,-0.784628651,1.3,0.07,-0.07,222.797713,6.038739725,-6.038739725,0.701,0.019,-0.019,0,1,92.8,3.16158,226.4700979,-2e-06,2e-06,1402.258826,6410578115.0,0.042880121,0.3,2.3,11050.70927,0.30379952,1,87.96,-0.28,0.28,0.0,,,0,,,,5932.9992,0.00015,-0.00015,0,5934.57999,0.0,1.5,0.01,-0.01,1,2011,Ariel,124.84450434380012,10.698623956899818,6.4636960384223645,0.0009223681116051,19.88403177897154,11.540794298721089
458,458,458,HD 63433 c,HD 63433 c,2.251263804,8.052683387,14.23900156,345.1857616,953.9544228,1479.176405,Transit,2,8,14,0,0,0,0.99,-0.03,0.03,5640.0,-74.0,74.0,0.91,-0.03,0.03,22.4035,-0.0225,0.0225,4.53,-0.09,0.09,Gaia DR2 875071278432954240,5.359,5.624,5.258,6.92035,6.71831,5.246,0,0.017,-0.017,0.017,[M/H],0.414,-0.023,0.023,G5IV,117.4793699,27.3631342,2.667737414,0.123298788,-0.123298788,0.238,0.011,-0.011,7.596098918,0.0,0.0,0.0239,0.0,0.0,1,0,0.0,20.5453,2067.083429,-0.0013,0.0012,698.3904838,21890282660.0,0.146423295,0.1,2.3,14543.10542,0.512,1,89.147,-0.2,0.069,0.0,,,0,,,,8844.05799,0.00084,-0.00087,0,8854.33064,0.0,0.0722,0.0038,-0.0037,2,2020,Ariel,9.982776907982595,10.882798707545634,0.8573358452989789,0.000109363890441,0.8124750492123564,11.478398119445872
407,407,407,HATS-72 b,HATS-72 b,1.0,6.108367824,11.99403945,17.99144442,152.919086,305.2052976,Transit,1,6,12,0,0,0,0.73,0.0,0.0,4656.1,-8.9,8.9,0.72,0.0,0.0,127.589,-0.609,0.614,4.59,0.0,0.0,Gaia DR2 2594869603582993792,9.907,10.424,9.764,12.324,12.0725,9.683,0,0.099,-0.014,0.014,[Fe/H],12.17,-0.45,0.24,,339.0258401,-17.0003046,8.092884088,0.033626942,-0.033626942,0.722,0.003,-0.003,39.85568219,1.239530786,-1.239530786,0.1254,0.0039,-0.0039,0,1,16.15,7.3279474,1673.071162,-1.6e-06,1.6e-06,714.4903705,9946275749.0,0.066530273,0.3,2.3,11088.70421,0.153,1,89.56,-0.05,0.07,0.0,,,1,,,,8087.64782,7.5e-05,-7.5e-05,0,8091.311794,0.0,1.401,0.000439,-0.000439,1,2020,Ariel,24.65880736291627,6.204685182793487,2.027766092033648,0.0010126445115491,2.231272955471277,11.322526823959866
