maintained by Benneke team for the TESS ACWG,,,,,,,,,,,
Date:,12-July-2020," from GTO Observing Specifications on Jdox (effective Sep 2020, added by Tom Greene)",,,,,,,,,
Date:,6-April-2021,JWST GO cycle 1 accepted programs (added by Roy and Benneke),,,,,,,,,
,,,,,,,,,,,
 1 Equilibrium temperature of planet assuming 0 albedo and 4pi str redistribution,,,,,,,,,,,
" 2 Observations should be TRANSIT for transmission spectrometry or photometry, ECLIPSE for secondary eclipse, or PHASE for phase curve",,,,,,,,,,,
,,,,,,,,,,,
Planet,Mpl (Mearth),Rpl (Rearth),Teq (K),Observation,Instrument,Mode,Comment,Program,PI / Team,GTO / GO / ERS / DDT,Data to be obtained
GJ 1132 b,1.6,1.2,410,ECLIPSE,MIRI,LRS SLITLESSPRISM,1 SEC ECLIPSE,1274,Lunine,GTO,
GJ 1132 b,1.6,1.2,580,TRANSIT,NIRSPEC,G395H,2 transits,1981,Stevenson,GO,
TOI-178 b,1.5,1.152,1040,TRANSIT,NIRSpec,G395M+F290LP,1 transit,2319,Hooton,GO,
TRAPPIST-1 c,1.2,1.1,334,ECLIPSE,MIRI,MIRIM F1500W,4 eclipses,2304,Kreidberg,GO,
TRAPPIST-1 c,1.2,1.1,334,TRANSIT,NIRSpec,PRISM,4 transits,2420,Rathcke,GO,
TRAPPIST-1 c,1.2,1.1,334,TRANSIT,NIRISS,SOSS,2 transits,2589,Lim,GO,
TRAPPIST-1 g,1.1,1.2,194.5,TRANSIT,NIRSpec,PRISM,2 transits,2589,Lim,GO,
TRAPPIST-1 b,0.9,1.1,400,ECLIPSE,MIRI,F1280 MIRIM,5 visits,1279,MIRI EC,GTO,
TRAPPIST-1 b,0.9,1.1,400,ECLIPSE,MIRI,MIRIM 15 um,5 visits,1177,NIRCam+TG,GTO,
TRAPPIST-1 b,0.9,1.1,400,TRANSIT,NIRISS,SOSS,2 transits,2589,Lim,GO,
TRAPPIST-1 f,0.7,1.0,220,TRANSIT,NIRISS,SOSS,5 transits,1201,NIRISS,GTO,
TRAPPIST-1 e,0.6,0.9,251,TRANSIT,NIRSPEC,PRISM,4 transits,1331,STScI,GTO,
GJ 367 b,0.53,0.72,-,PHASE,MIRI,LRS,1 phasecure (2 eclipses + 1 transit),2508,Zhang,GO,"Feb 21, 2023"
TRAPPIST-1 d,0.4,0.8,288,TRANSIT,NIRSPEC,PRISM,2 transits,1201,NIRISS,GTO,
TRAPPIST-1 h,0.3,0.8,169,TRANSIT,NIRSPEC,PRISM,3 transits,1981,Stevenson,GO,
TRAPPIST-1 h,0.3,0.8,169,TRANSIT,NIRSpec,PRISM,2 transits,2589,Lim,GO,
GJ 341 b,-,-,-,TRANSIT,NIRCam,F444W,3 transits,1981,Stevenson,GO,
GJ 4102 b,-,-,-,TRANSIT,NIRSPEC,G395H,3 transits,1981,Stevenson,GO,
TOI-134 b,-,1.38,965,TRANSIT,NIRSpec,G395H/F290LP,3 transits,2512,Batalha,GO,
